Data;Meio de pagamento Restrito - M1 - papel-moeda em poder do público - média - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_PMPPM12;
1980.01;5,30909090909091E-08;
1980.02;5,34545454545455E-08;
1980.03;5,30909090909091E-08;
1980.04;5,6E-08;
1980.05;5,78181818181818E-08;
1980.06;6,18181818181818E-08;
1980.07;6,72727272727273E-08;
1980.08;6,90909090909091E-08;
1980.09;7,16363636363637E-08;
1980.10;7,41818181818182E-08;
1980.11;7,92727272727273E-08;
1980.12;1E-07;
1981.01;9,70909090909091E-08;
1981.02;9,38181818181818E-08;
1981.03;9,49090909090909E-08;
1981.04;9,81818181818182E-08;
1981.05;1,00363636363636E-07;
1981.06;1,05090909090909E-07;
1981.07;1,15636363636364E-07;
1981.08;1,19636363636364E-07;
1981.09;1,24363636363636E-07;
1981.10;1,33454545454545E-07;
1981.11;1,4E-07;
1981.12;1,52E-07;
1982.01;1,84E-07;
1982.02;1,88E-07;
1982.03;1,74909090909091E-07;
1982.04;1,89090909090909E-07;
1982.05;1,94909090909091E-07;
1982.06;2,04363636363636E-07;
1982.07;2,29090909090909E-07;
1982.08;2,34181818181818E-07;
1982.09;2,41090909090909E-07;
1982.10;2,63272727272727E-07;
1982.11;2,82181818181818E-07;
1982.12;3,41454545454545E-07;
1983.01;3,54181818181818E-07;
1983.02;3,38181818181818E-07;
1983.03;3,48363636363636E-07;
1983.04;3,54909090909091E-07;
1983.05;3,61818181818182E-07;
1983.06;3,86909090909091E-07;
1983.07;4,55636363636364E-07;
1983.08;4,39272727272727E-07;
1983.09;4,90545454545455E-07;
1983.10;4,85818181818182E-07;
1983.11;5,12E-07;
1983.12;6,95636363636364E-07;
1984.01;7,69818181818182E-07;
1984.02;6,71272727272727E-07;
1984.03;6,88E-07;
1984.04;7,6E-07;
1984.05;7,66545454545455E-07;
1984.06;8,74545454545454E-07;
1984.07;1,06690909090909E-06;
1984.08;1,032E-06;
1984.09;1,15563636363636E-06;
1984.10;1,21818181818182E-06;
1984.11;1,32E-06;
1984.12;1,93054545454545E-06;
1985.01;1,90909090909091E-06;
1985.02;2,04545454545455E-06;
1985.03;2,11236363636364E-06;
1985.04;2,31454545454545E-06;
1985.05;2,50618181818182E-06;
1985.06;2,92254545454545E-06;
1985.07;3,54145454545455E-06;
1985.08;3,87418181818182E-06;
1985.09;4,39090909090909E-06;
1985.10;4,72727272727273E-06;
1985.11;5,39127272727273E-06;
1985.12;7,888E-06;
1986.01;7,99709090909091E-06;
1986.02;8,42254545454545E-06;
1986.03;1,02730909090909E-05;
1986.04;1,26152727272727E-05;
1986.05;1,46189090909091E-05;
1986.06;1,63527272727273E-05;
1986.07;1,7932E-05;
1986.08;1,87654545454545E-05;
1986.09;2,06636363636364E-05;
1986.10;2,15832727272727E-05;
1986.11;2,32225454545455E-05;
1986.12;2,87025454545455E-05;
1987.01;2,63094545454545E-05;
1987.02;2,38596363636364E-05;
1987.03;2,42516363636364E-05;
1987.04;2,69523636363636E-05;
1987.05;2,79170909090909E-05;
1987.06;3,01749090909091E-05;
1987.07;3,6592E-05;
1987.08;4,10981818181818E-05;
1987.09;4,42607272727273E-05;
1987.10;4,9756E-05;
1987.11;5,48690909090909E-05;
1987.12;7,95949090909091E-05;
1988.01;7,78181818181818E-05;
1988.02;8,25454545454545E-05;
1988.03;8,76363636363636E-05;
1988.04;0,0001;
1988.05;0,000117818181818182;
1988.06;0,000133090909090909;
1988.07;0,000162909090909091;
1988.08;0,000181818181818182;
1988.09;;
1988.10;;
1988.11;;
1988.12;;
1989.01;;
1989.02;;
1989.03;;
1989.04;;
1989.05;;
1989.06;;
1989.07;;
1989.08;;
1989.09;;
1989.10;;
1989.11;;
1989.12;;
1990.01;;
1990.02;;
1990.03;;
1990.04;;
1990.05;;
1990.06;;
1990.07;;
1990.08;;
1990.09;;
1990.10;;
1990.11;;
1990.12;;
1991.01;;
1991.02;;
1991.03;;
1991.04;;
1991.05;;
1991.06;;
1991.07;;
1991.08;;
1991.09;;
1991.10;;
1991.11;;
1991.12;;
1992.01;1,16873709090909;
1992.02;1,35591774545455;
1992.03;1,52642267272727;
1992.04;1,79984509090909;
1992.05;2,10778541818182;
1992.06;2,76201504763636;
1992.07;3,34754336763636;
1992.08;3,87361894363636;
1992.09;4,65628867527273;
1992.10;6,43044557563636;
1992.11;7,70401172727273;
1992.12;12,8736783967273;
1993.01;12,6969818181818;
1993.02;16,0349696970909;
1993.03;18,7122845850909;
1993.04;24,3376650716364;
1993.05;29,1315497836364;
1993.06;40,1261125541818;
1993.07;50,2284628098182;
1993.08;63,5905123636364;
1993.09;83,6252469090909;
1993.10;114,505636363636;
1993.11;155,362036363636;
1993.12;305,237849818182;
1994.01;331,043272727273;
1994.02;458,945212;
1994.03;587,571785090909;
1994.04;828,118468727273;
1994.05;1151,46376872727;
1994.06;1774,93770545455;
1994.07;3496,867;
1994.08;4419,637;
1994.09;5168,726;
1994.10;5559,99;
1994.11;5816,732;
1994.12;7796,392;
1995.01;7227,044;
1995.02;7060,821;
1995.03;6811,903;
1995.04;6690,781;
1995.05;6574,93;
1995.06;7101,564;
1995.07;7519,238;
1995.08;7637,739;
1995.09;7994,55;
1995.10;8228,095;
1995.11;8612,65;
1995.12;11329,3;
1996.01;10570,227;
1996.02;10153;
1996.03;9921,714;
1996.04;9867,763;
1996.05;10077,089;
1996.06;10448,782;
1996.07;10824,67;
1996.08;11007,151;
1996.09;11396,383;
1996.10;11570,941;
1996.11;11811,069;
1996.12;14640,686;
1997.01;14253,671;
1997.02;13944,518;
1997.03;13778,801;
1997.04;13510,514;
1997.05;13555,634;
1997.06;13654,395;
1997.07;13906,611;
1997.08;13892,165;
1997.09;13996,749;
1997.10;14183,723;
1997.11;14323,385;
1997.12;17538,425;
1998.01;16466,724;
1998.02;15071,073;
1998.03;15071,073;
1998.04;15031,888;
1998.05;15175,06;
1998.06;15554,579;
1998.07;15949,547;
1998.08;16009,413;
1998.09;16438,077;
1998.10;17061,253;
1998.11;16947,882;
1998.12;20463,488;
1999.01;19417,393;
1999.02;19475,292;
1999.03;18528,667;
1999.04;17642,858;
1999.05;17430,798;
1999.06;17858,506;
1999.07;18475,683;
1999.08;18354,055;
1999.09;18366,317;
1999.10;18599,009;
1999.11;18838,039;
1999.12;23573,408;
2000.01;22951,172;
2000.02;21129,234;
2000.03;20431,999;
2000.04;20322,552;
2000.05;20283,057;
2000.06;20604,992;
2000.07;21001,747;
2000.08;20999,914;
2000.09;21375,808;
2000.10;21726,212;
2000.11;21936,849;
2000.12;26678,274;
2001.01;25852,078;
2001.02;24688,656;
2001.03;23909,233;
2001.04;23902,714;
2001.05;23981,581;
2001.06;24437,412;
2001.07;24933,436;
2001.08;24795,278;
2001.09;25021,438;
2001.10;25275,556;
2001.11;25441,719;
2001.12;30596,094;
2002.01;29377,681;
2002.02;27893,036;
2002.03;27674,304;
2002.04;27102,527;
2002.05;27168,039;
2002.06;28184,365;
2002.07;29348,18;
2002.08;30587,478;
2002.09;32023,022;
2002.10;33765,471;
2002.11;34463,183;
2002.12;40343,693;
2003.01;39336,747;
2003.02;36537,385;
2003.03;34806,98;
2003.04;34065,936;
2003.05;33265,757;
2003.06;33397,111;
2003.07;33767,279;
2003.08;33897,702;
2003.09;34199,626;
2003.10;34182,73;
2003.11;34801,764;
2003.12;41573,099;
2004.01;40267,754;
2004.02;39000,462;
2004.03;37874,278;
2004.04;38130,077;
2004.05;38622,303;
2004.06;39736,384;
2004.07;40887,752;
2004.08;41025,623;
2004.09;41599,069;
2004.10;42702,577;
2004.11;42945,303;
2004.12;50947,706;
2005.01;48940,114;
2005.02;46680,93;
2005.03;45488,352;
2005.04;44803,647;
2005.05;44763,156;
2005.06;45461,371;
2005.07;46470,736;
2005.08;46400,14;
2005.09;45680,939;
2005.10;47238,635;
2005.11;47849,619;
2005.12;56958,508;
2006.01;54424,68;
2006.02;51954,037;
2006.03;50533,151;
2006.04;50651,871;
2006.05;51096,844;
2006.06;52312,686;
2006.07;53751,858;
2006.08;54481,13;
2006.09;57399,131;
2006.10;57885,431;
2006.11;58552,533;
2006.12;66957,712;
2007.01;65028,877;
2007.02;62667,046;
2007.03;61417,726;
2007.04;61252,193;
2007.05;61687,882;
2007.06;62836,772;
2007.07;64299;
2007.08;65133,973;
2007.09;68034,131;
2007.10;68356,668;
2007.11;69241,541;
2007.12;79109,319;
2008.01;76522,774;
2008.02;73208,506;
2008.03;72625,899;
2008.04;72911,17;
2008.05;73193,517;
2008.06;74360,56;
2008.07;75893,822;
2008.08;76755,247;
2008.09;79687,422;
2008.10;80413,936;
2008.11;80989,064;
2008.12;90390,586;
2009.01;86688,183;
2009.02;83874,479;
2009.03;81814,537;
2009.04;81957,516;
2009.05;82893,152;
2009.06;83954,152;
2009.07;85017,003;
2009.08;85878,474;
2009.09;89086,177;
2009.10;89370,912;
2009.11;91374,364;
2009.12;103045,886;
2010.01;100264,672;
2010.02;98443,613;
2010.03;96682,028;
2010.04;96409,432;
2010.05;96992,686;
2010.06;98121,877;
2010.07;100060,067;
2010.08;101699,177;
2010.09;105272,116;
2010.10;106249,439;
2010.11;107182,059;
2010.12;119322,825;
2011.01;115066,72;
2011.02;111149,611;
2011.03;108690,841;
2011.04;108508,919;
2011.05;107710,183;
2011.06;109017,827;
2011.07;110230,443;
2011.08;110625,908;
2011.09;113557,273;
2011.10;114503,095;
2011.11;115587,711;
2011.12;128687,804;
2012.01;124009,551;
2012.02;121412,203;
2012.03;119395,202;
2012.04;119018,892;
2012.05;119445,581;
2012.06;121345,41;
2012.07;123867,747;
2012.08;124702,359;
2012.09;129716,562;
2012.10;130681,865;
2012.11;130500,285;
2012.12;145124,842;
2013.01;139314,891;
2013.02;135250,669;
2013.03;135058,079;
2013.04;133943,661;
2013.05;134957,133;
2013.06;136118,137;
2013.07;138430,917;
2013.08;139756,137;
2013.09;144219,467;
2013.10;144113,3;
2013.11;145671,346;
2013.12;161404,274;
2014.01;155220,074;
2014.02;151500,111;
2014.03;149976,2;
2014.04;150078,328;
2014.05;148588,402;
2014.06;150882,982;
2014.07;151811,462;
2014.08;153062,503;
2014.09;158178,152;
2014.10;159004,028;
2014.11;161053,993;
2014.12;176443,174;
2015.01;169323,158;
2015.02;165175,402;
2015.03;165172,321;
2015.04;163748,41;
2015.05;162139,075;
2015.06;162875,372;
2015.07;163335,284;
2015.08;162382,131;
2015.09;162205,501;
2015.10;167946,537;
2015.11;167586,639;
2015.12;183458,345;
2016.01;176975,826;
2016.02;173041,585;
2016.03;171144,86;
2016.04;170185,401;
2016.05;169680,053;
2016.06;169098,167;
2016.07;170163,589;
2016.08;169002,416;
2016.09;174313,641;
2016.10;173729,952;
2016.11;173276,871;
2016.12;189935,167;
2017.01;183147,251;
2017.02;179467,87;
2017.03;176195,007;
2017.04;177127,792;
2017.05;176391,497;
2017.06;178331,875;
2017.07;180207,469;
2017.08;178840,079;
2017.09;182636,287;
2017.10;181262,134;
2017.11;182524,932;
2017.12;200801,742;
2018.01;194690,927;
2018.02;189931,504;
2018.03;188746,438;
2018.04;186720,895;
2018.05;186836,833;
2018.06;189207,364;
2018.07;190461,894;
2018.08;191333,202;
2018.09;197900,212;
2018.10;197271,006;
2018.11;197300,035;
2018.12;215208,418;
2019.01;208106,375;
2019.02;202173,903;
2019.03;200625,74;
2019.04;199813,832;
2019.05;197707,946;
2019.06;199208,518;
2019.07;199297,924;
2019.08;199551,72;
2019.09;205294,884;
2019.10;205909,705;
2019.11;207918,975;
2019.12;226897,121;
2020.01;220000,793;
2020.02;215559,135;
2020.03;213589,103;
2020.04;227407,684;
2020.05;251571,585;
2020.06;269879,085;
2020.07;277192,301;
2020.08;284606,67;
2020.09;290084,543;
2020.10;293787,918;
2020.11;297097,24;
2020.12;308522,243;
2021.01;300613,433;
2021.02;293117,121;
2021.03;285707,009;
2021.04;282734,489;
2021.05;281004,608;
2021.06;285547,967;
2021.07;289553,656;
2021.08;285347,868;
2021.09;282478,605;
2021.10;280117,992;
2021.11;277850,837;
2021.12;285363,157;
2022.01;278941,482;
2022.02;276038,612;
2022.03;271618,04;
2022.04;271244,156;
2022.05;273726,905;
2022.06;277415,963;
2022.07;274797,6;
2022.08;272113,705;
2022.09;270404,185;
2022.10;272598,997;
2022.11;275276,974;
2022.12;288704,902;
2023.01;288442,247;
2023.02;286060,048;
2023.03;281215,534;
2023.04;278154,026;
2023.05;275016,239;
2023.06;280984,111;
2023.07;286684,541;
2023.08;283384,022;
2023.09;279824,501;
2023.10;279312,127;
2023.11;279359,193;
2023.12;290003,516;
2024.01;286217,456;
2024.02;283111,285;
2024.03;282673,09;
2024.04;281937,82;
2024.05;289507,168;
2024.06;297071,67;
2024.07;298442,856;
2024.08;298435,536;
2024.09;299607,644;
2024.10;300480,911;
2024.11;298649,364;
2024.12;305515,943;
2025.01;309466,064;
