"Category";"Pix";"Saques";"Cobranças (Boleto + Convênio + Débito Direto)";"Cartões (Crédito + Débito + Pré-Pago)";"Transferências Interbancárias (TED + DOC + TEC )";"Cheque";"Transferências Intrabancárias"
"2020-T1";0;1034924;3567919;5828197;375306;115237;293996
"2020-T2";0;934644;3551744;4701059;457417;85355;303062
"2020-T3";0;1009737;3788553;6032413;617559;86966;338018
"2020-T4";176206;1084574;3923643;7213122;636063;91594;348828
"2021-T1";862337;926234;3856476;6606310;388039;79409;274419
"2021-T2";1871563;924449;3874374;7248601;364456;75417;260756
"2021-T3";2863336;918141;4033513;8441420;325658;80110;244008
"2021-T4";3836285;919580;4062750;9021249;313459;77752;226318
"2022-T1";4250023;838690;4329913;8776630;271884;71479;278556
"2022-T2";5447448;876660;4313182;9503533;274604;70141;269502
"2022-T3";6528602;725040;4272741;9976599;276405;68142;274847
"2022-T4";7807165;717703;4196517;10753625;266693;62606;289650
"2023-T1";8116395;655963;4716673;10262052;238232;57830;259518
"2023-T2";9396579;778453;4787392;10791237;231139;56339;278674
"2023-T3";11116947;758697;4985533;11275959;232096;54410;318650
"2023-T4";13045669;752444;5368186;12026912;233707;52101;375748
"2024-T1";13575455;683041;5388058;11450039;204824;46468;276831
"2024-T2";15356890;698602;5439087;11983899;203269;44981;327947
"2024-T3";16546427;664224;5960959;12296545;203394;44243;425532
"2024-T4";17960834;657347;5888074;12974630;211017;41511;487077